url,label
https://example.com/account,0
https://openai.com/security,0
https://docs.djangoproject.com/en/stable/,0
https://accounts.google.com/signin,0
https://github.com/login,0
https://www.microsoft.com/en-us/security,0
https://mybank.example.com/dashboard,0
https://mail.google.com/mail/u/0/,0
https://www.amazon.com/gp/css/homepage.html,0
https://support.apple.com/account,0
https://example.org/news/security-update,0
https://portal.university.edu/student/login,0
http://192.168.1.44/verify-account,1
http://secure-login-bank.example.verify-now.ru/password,1
https://bit.ly/free-prize-login,1
http://paypal-security-update.example.com@evil.test/login,1
https://account-suspended-bank-login.example.net,1
http://free-gift-card-winner.example.xyz/claim,1
https://urgent-bank-verify-login.example.info,1
http://login.password-reset.security-check.example.biz,1
https://tinyurl.com/confirm-account-now,1
http://verify-paypal-account-security.example.co/login,1
https://bank.example.com.secure-login-alert.ru/update,1
http://account-blocked-confirm-password.example.net,1
https://www.wikipedia.org/,0
https://www.python.org/downloads/,0
https://developer.mozilla.org/en-US/,0
https://www.djangoproject.com/start/,0
http://free-prize-winner-click-now.example.com,1
https://secure-update-login-password.example.top,1
